id,make,model,trim,type,price,mileage,src,year,image-type
1189,KIA,OPTIMA,LX,sedan,14100,24676,cdnblob.carvana.io/2000281850/post-large/normalized/cropped/2000281850-edc-02.jpg?v=2019.4.10_6.52.54,2015,original
1190,HYUNDAI,SONATA,SEL,sedan,20100,3411,cdnblob.carvana.io/2000269110/post-large/normalized/cropped/2000269110-edc-02.jpg?v=2019.3.30_21.29.36,2018,original
1191,HONDA,CIVIC,LX,sedan,14700,26068,cdnblob.carvana.io/2000281584/post-large/normalized/cropped/2000281584-edc-02.jpg?v=2019.4.2_21.4.18,2015,original
1192,CHEVROLET,CRUZE,LT,sedan,14800,21114,cdnblob.carvana.io/2000280319/post-large/normalized/cropped/2000280319-edc-02.jpg?v=2019.4.1_13.20.11,2017,original
1193,NISSAN,SENTRA,SR,sedan,15100,19961,cdnblob.carvana.io/2000266727/post-large/normalized/cropped/2000266727-edc-02.jpg?v=2019.4.2_21.48.19,2017,original
1194,INFINITI,Q50,3.7,sedan,22500,15497,cdnblob.carvana.io/2000282064/post-large/normalized/cropped/2000282064-edc-02.jpg?v=2019.4.9_19.53.55,2015,original
1195,BUICK,REGAL,Sport Touring,sedan,18800,21478,cdnblob.carvana.io/2000275854/post-large/normalized/cropped/2000275854-edc-02.jpg?v=2019.4.5_4.58.28,2017,original
1196,NISSAN,SENTRA,S,sedan,12900,16115,cdnblob.carvana.io/2000279459/post-large/normalized/cropped/2000279459-edc-02.jpg?v=2019.4.10_16.58.6,2016,original
1197,MAZDA,MAZDA3,I Touring,sedan,15500,38445,cdnblob.carvana.io/2000280576/post-large/normalized/cropped/2000280576-edc-02.jpg?v=2019.4.8_12.31.33,2016,original
1198,MAZDA,MAZDA3,I Touring,sedan,14800,37704,cdnblob.carvana.io/2000273794/post-large/normalized/cropped/2000273794-edc-02.jpg?v=2019.3.30_19.52.27,2015,original
1199,HYUNDAI,SONATA,Sonata,sedan,13400,49134,cdnblob.carvana.io/2000281523/post-large/normalized/cropped/2000281523-edc-02.jpg?v=2019.4.1_21.37.43,2017,original
1200,BMW,4 SERIES,428i Gran XDrive,sedan,24100,34056,cdnblob.carvana.io/2000281162/post-large/normalized/cropped/2000281162-edc-02.jpg?v=2019.4.1_19.5.45,2015,original
1201,CHEVROLET,CRUZE,LT,sedan,14600,22786,cdnblob.carvana.io/2000279876/post-large/normalized/cropped/2000279876-edc-02.jpg?v=2019.4.1_17.59.37,2017,original
1202,KIA,OPTIMA,Limited,sedan,22100,27053,cdnblob.carvana.io/2000279728/post-large/normalized/cropped/2000279728-edc-02.jpg?v=2019.4.5_20.10.44,2016,original
1203,MAZDA,MAZDA6,I Grand Touring,sedan,20700,24840,cdnblob.carvana.io/2000279235/post-large/normalized/cropped/2000279235-edc-02.jpg?v=2019.4.6_5.5.53,2016,original
1204,HONDA,ACCORD,LX,sedan,18400,26569,cdnblob.carvana.io/2000279083/post-large/normalized/cropped/2000279083-edc-02.jpg?v=2019.4.6_5.14.53,2017,original
1205,KIA,FORTE,LX,sedan,13500,15817,cdnblob.carvana.io/2000274267/post-large/normalized/cropped/2000274267-edc-02.jpg?v=2019.4.1_13.14.19,2017,original
1206,HYUNDAI,ACCENT,SE,sedan,13800,19284,cdnblob.carvana.io/2000270078/post-large/normalized/cropped/2000270078-edc-02.jpg?v=2019.4.5_19.50.49,2018,original
1207,HYUNDAI,ACCENT,SE,sedan,11300,45713,cdnblob.carvana.io/2000267364/post-large/normalized/cropped/2000267364-edc-02.jpg?v=2019.4.6_6.5.8,2017,original
